Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
HEREDIA TABARES,DARIANNA,ANT,17,40,18,13,9,0.775,2,2,0,100.0,3,0
HERNÁDEZ SANTOS,Elizabeth Patricia,FEN,19,30,23,3,4,0.867,0,0,0,,0,0
HERNÁNDEZ,Elena,DRI,28,23,19,4,0,1.000,1,0,0,,0,0
HERRERA,Alba,DRI,33,10,4,4,2,0.800,0,0,0,,0,0
IBERO GABÁS,Ana,IRA,13,11,10,0,1,0.909,0,0,0,,0,0
IBORRA BERMUDEZ,Jessica,VIL,20,58,25,26,7,0.879,3,0,0,,0,0
IBÁÑEZ,Raquel,OBB,39,19,5,11,3,0.842,0,0,0,,0,0
ILAGAN,Raine Elisabeth,BCN,9,4,3,0,1,0.750,0,0,0,,0,0
IZQUIERDO,Andrea,SBO,46,103,84,18,1,0.990,3,0,0,,0,0
JIMÉNEZ,Irene,DRI,31,48,43,2,3,0.938,0,0,0,,0,0
JONÁS,Roser,SBO,24,17,17,0,0,1.000,0,0,0,,0,0
LARDÍN,Ainhoa,BCN,29,114,82,26,6,0.947,4,54,12,81.8,1,0
LARRAZA,Amaia,OBB,35,13,4,7,2,0.846,0,0,0,,0,0
LEDEZMA,Sorangel,SBO,31,48,20,26,2,0.958,4,0,0,,0,0
LEYVA,Judith,BCN,10,25,13,9,3,0.880,1,0,0,,0,0
LILLO GARCÍA,Belén,FEN,2,1,1,0,0,1.000,0,0,0,,0,0
LIZAMA GONZÁLEZ,Leyre,MIR,24,63,47,11,5,0.921,2,34,5,87.2,3,0
LLORENS BALLESTER,Irene Qiunting,FEN,32,121,73,38,10,0.917,9,0,0,,0,0
LOIDI,Sara,OBB,33,153,132,14,7,0.954,7,0,0,,0,0
LORA TERRES,Sara,FEN,27,41,32,5,4,0.902,0,0,0,,0,0
LORENZO MARTÍN,Carla,IRA,14,3,1,1,1,0.667,0,0,0,,0,0
LORENZO,Tatiana,DRI,20,52,28,19,5,0.904,4,0,0,,0,0
LUNA GONZALEZ,Glorilen Paola,CAP,62,116,26,75,15,0.871,5,1,0,100.0,0,0
LUNA GONZÁLEZ,Diana Carolina,CAP,14,30,19,4,7,0.767,3,0,0,,0,0
LÓPEZ REY,Nuria,VIL,11,5,3,0,2,0.600,0,0,0,,0,0
LÓPEZ YESA,Natalia,MIR,32,88,63,16,9,0.898,2,7,0,100.0,1,0
LÓPEZ,Alba,SBO,30,128,113,12,3,0.977,3,20,5,80.0,7,0
LÓPEZ,Blanca,OBB,31,50,40,7,3,0.940,1,0,0,,0,0
LÓPEZ,Elena,SBO,6,7,3,3,1,0.857,1,0,0,,0,0
MACÍAS GONZALEZ,Lucía,FEN,27,38,31,4,3,0.921,1,0,0,,0,0
MAIRAL LACOMA,Vera,MIR,24,69,59,5,5,0.928,1,0,0,,0,0
MARTINEZ,Claudia,DRI,21,8,8,0,0,1.000,0,0,0,,0,0
MARTÍN HUERTA,María,FEN,24,11,4,5,2,0.818,0,0,0,,0,0
MARTÍN VILLALBA,Yarismar,ANT,28,143,116,22,5,0.965,7,0,0,,0,0
MARTÍNEZ CALVO,Macarena,ANT,25,81,44,30,7,0.914,3,13,0,100.0,3,0
MCMAHON PARICIO,Sofía,MIR,27,39,33,4,2,0.949,0,0,0,,0,0
