Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ASTORRI,Cesare,PAR,16,3,6,1,0,1,3,10,0.375,0.625,0.421,1.046,2,0,1,2,1,1,0,1
BACCELLI,Marco,RIM,22,1,7,1,0,0,3,8,0.318,0.364,0.423,0.787,3,1,3,0,0,0,0,0
BALDAZZI,Alessio,FIO,22,3,9,2,0,1,3,14,0.409,0.636,0.500,1.136,4,0,4,0,0,0,1,0
BARAVALLE,Gianluca,SEN,19,0,0,0,0,0,0,0,0.000,0.000,0.050,0.050,1,0,4,3,0,1,0,0
BARBA,Matteo,CRO,4,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
BARBERO,Paolo,TOR,10,1,2,0,0,0,0,2,0.200,0.200,0.333,0.533,2,0,3,0,0,0,1,0
BARBONA,Alessandro,NET,21,7,10,1,0,0,3,11,0.476,0.524,0.560,1.084,3,1,3,0,0,2,0,1
BARBONA,Lorenzo,NET,23,5,5,1,0,0,5,6,0.217,0.261,0.345,0.606,5,0,3,0,1,0,1,0
BARCELAN RODRIGUEZ,JORGE LUIS,BBC,24,4,9,2,0,0,1,11,0.375,0.458,0.444,0.902,2,1,3,0,0,0,0,0
BARO COELLO,Angel De Jesus,RIM,23,3,5,2,0,0,3,7,0.217,0.304,0.259,0.563,1,1,3,0,2,0,1,0
BARRETO GRAVE DE PERALTA,Remberto,GRO,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
BATISTA DE JESUS,Nathanael Manoly,RSM,25,4,8,2,0,0,3,10,0.320,0.400,0.387,0.787,3,1,4,2,2,0,0,0
BATTIONI,Tommaso,PAR,1,0,0,0,0,0,0,0,0.000,0.000,0.500,0.500,1,0,1,0,0,1,0,0
BECATTINI,Manuele,FIO,15,2,1,0,0,0,2,1,0.067,0.067,0.176,0.243,2,0,5,0,0,2,1,1
BELARDI,Leonardo,LIN,16,1,6,0,0,0,2,6,0.375,0.375,0.500,0.875,2,2,4,0,0,0,0,1
BELLANDI,Federico,SEN,13,1,3,2,0,0,1,5,0.231,0.385,0.389,0.774,3,1,9,0,1,0,0,0
