Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
DORFFNER,David,MS,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
ECKEL,Philipp,GH,71,23,23,4,0,3,8,36,0.324,0.507,0.484,0.991,19,3,13,2,0,0,4,0
EISENHELD,David,BB,3,2,0,0,0,0,0,0,0.000,0.000,0.400,0.400,1,1,1,0,0,0,0,0
ELLENBOGEN,Jonathan,VW,9,1,3,0,0,0,0,3,0.333,0.333,0.333,0.666,0,0,1,0,0,0,0,0
FALBACHER,Fabian,BB,2,0,0,0,0,0,1,0,0.000,0.000,0.333,0.333,1,0,1,0,0,0,0,0
FAULHABER,Julian,DD,104,30,38,9,0,3,27,56,0.365,0.538,0.472,1.010,16,6,22,1,1,0,5,0
FERAK,Peter Jr.,MS,26,1,5,1,0,0,4,6,0.192,0.231,0.324,0.555,4,2,7,0,2,0,0,0
FRÖHLICH,Niklas,GH,79,8,21,3,0,1,9,27,0.266,0.342,0.352,0.694,10,1,22,1,1,1,0,0
GAUTHIER,Robbie,IN,62,14,21,8,0,2,12,35,0.339,0.565,0.539,1.104,22,5,4,2,0,0,2,0
GUTHRIE,Roman,HB,66,20,27,3,0,1,8,33,0.409,0.500,0.500,1.000,12,0,14,0,0,0,12,1
HACKL,Mo,MS,91,19,20,4,0,3,21,33,0.220,0.363,0.327,0.690,15,0,27,1,1,2,0,1
HACKL,Sammy,MS,114,39,43,12,0,11,40,88,0.377,0.772,0.514,1.286,28,5,11,2,1,0,5,0
HALPER,Lennard,VW,3,0,1,0,0,0,0,1,0.333,0.333,0.333,0.666,0,0,2,0,0,0,0,0
HAMILTON,Dustin Jeffrey,MS,8,0,2,1,0,0,3,3,0.250,0.375,0.333,0.708,1,0,2,0,0,2,0,0
HELMIG,Anton,VW,33,5,10,3,0,0,2,13,0.303,0.394,0.395,0.789,4,1,8,1,0,0,0,0
HERRERA GONZALEZ,Jose Antonio,BB,65,15,23,4,1,0,10,29,0.354,0.446,0.417,0.863,7,0,6,2,0,0,4,4
HILLIARD,Alex,MS,54,9,12,1,0,0,7,13,0.222,0.241,0.333,0.574,8,1,9,1,0,0,5,1
HIRNSCHAL,Fabian,VW,62,9,15,4,0,0,7,19,0.242,0.306,0.383,0.689,11,5,11,1,3,0,4,0
HOLDHAUS,Luca,DD,8,1,1,0,0,0,1,1,0.125,0.125,0.200,0.325,1,0,2,0,1,0,0,0
HOLMES JR,Timothy Allen,VW,33,3,8,0,0,0,5,8,0.242,0.242,0.359,0.601,4,2,5,0,0,0,0,0
HOSCHER,Christoph,VW,8,2,3,1,0,0,1,4,0.375,0.500,0.375,0.875,0,0,2,0,0,0,0,0
JAEGER,Nick,HB,17,2,1,0,0,0,0,1,0.059,0.059,0.238,0.297,3,1,10,0,0,0,0,0
