Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
FAINI,Federico,REG,7,3,1,2,0,1.000,0,0,0,,0,0
FALZI,Nicola,VER,13,12,12,0,0,1.000,0,0,0,,0,0
FANCELLU,Nicholas,OLT,8,49,43,6,0,1.000,1,10,5,66.7,2,0
FARINA,Giovanni,PAD,15,18,7,9,2,0.889,2,0,0,,0,0
FATICANTI,Valdemaro,FIO,19,108,90,15,3,0.972,0,9,9,50.0,3,0
FAVA,Jacopo,CRO,13,106,97,9,0,1.000,3,13,5,72.2,3,0
FERNANDEZ FLORES,Yosmi Antonio,BOL,20,85,22,59,4,0.953,16,0,0,,0,0
FERRI,Jacopo,MOD,21,79,22,52,5,0.937,8,0,0,,0,0
FERRINI COLMENAREZ,Jose Leonardo,RSM,31,154,128,24,2,0.987,14,0,0,,0,0
FIGUEREDO CRUZ,Raymond,PAR,11,12,3,8,1,0.917,0,0,0,,0,0
FIORAVANTI,Saverio,FIO,11,1,0,0,1,0.000,0,0,0,,0,0
FLISI,Riccardo,PAR,29,16,15,1,0,1.000,0,0,0,,0,0
FOCCHI,Amedeo,RIM,17,16,14,0,2,0.875,0,0,0,,0,0
FOCCHI,Riccardo,GOD,12,5,0,3,2,0.600,1,0,0,,0,0
FODERARO,Fabio,REG,1,1,1,0,0,1.000,0,0,0,,0,0
FOLLI,Stefano,OLT,19,181,166,12,3,0.983,0,27,6,81.8,3,0
FONTANA,Leonardo,FIO,24,59,18,37,4,0.932,2,0,0,,0,0
FORTE,Lorenzo,SET,19,15,14,0,1,0.933,0,0,0,,0,0
FORTI,Michele,GRO,5,1,1,0,0,1.000,0,0,0,,0,0
FRACCHIOLLA RIOS,Gianny Tomasso,CAG,14,15,5,8,2,0.867,0,0,1,0.0,0,0
FRANCESCHELLI,Tommaso,BBC,23,12,8,2,2,0.833,0,0,0,,0,0
FRANCESCHINI,Luca,TOR,23,77,69,8,0,1.000,8,0,0,,0,0
FRANCINI,Daniel,FIO,12,4,2,2,0,1.000,0,0,0,,0,0
FRASCHETTI,Luca,MIL,18,71,61,8,2,0.972,0,11,2,84.6,1,0
FRAULINI,Giacomo,MIL,22,51,49,1,1,0.980,1,0,0,,0,0
FREDDI,Luca,GOD,12,8,4,3,1,0.875,2,0,0,,0,0
FRIGATO,Alessandro,ROV,16,37,35,1,1,0.973,2,0,0,,0,0
FRIGGERI,Matteo,POV,20,1,1,0,0,1.000,0,0,0,,0,0
FUNZIONE,Niccolò,GRO,31,38,25,10,3,0.921,1,0,0,,0,0
FURLAN,Daniele,RON,3,6,6,0,0,1.000,0,0,0,,0,0
FURLANI,Luca,RON,19,68,21,41,6,0.912,6,0,0,,0,0
FURLANI,Marco,RON,23,60,38,20,2,0.967,6,0,0,,0,0
FUZZI,Francesco,BOL,9,17,4,11,2,0.882,0,0,0,,0,0
GABRIELLI,Andrea,RIM,21,43,38,4,1,0.977,0,0,0,,0,0
GALEOTTI,Matteo,GOD,10,18,2,15,1,0.944,0,0,2,0.0,0,0
GALLI,Samuele,GOD,17,21,19,1,1,0.952,1,0,0,,0,0
GALLO,Francesco,LIN,13,8,1,5,2,0.750,0,0,0,,0,0
GAMBERINI,Samuele,BOL,30,21,18,2,1,0.952,0,4,0,100.0,1,0
GANASSI,Davide,REG,4,3,3,0,0,1.000,0,0,0,,0,0
GARAVAGLIA,Alessandro,MIL,20,60,16,35,9,0.850,0,5,0,100.0,0,0
GARAVITO MIGUEL,Ernesto Manuel,COD,32,6,1,4,1,0.833,0,0,0,,0,0
GARBELLA,Giovanni Vito Sathya,BBC,4,5,4,0,1,0.800,0,0,0,,0,0
GARBELLA,Nicola Luciano Sathya,BBC,5,2,0,2,0,1.000,1,0,0,,0,0
GARCIA DEL TORO,Eddy Abel,GRO,10,11,1,10,0,1.000,0,0,3,0.0,0,0
GARCIA PEREIRA,jose elias,BBC,33,159,134,22,3,0.981,3,13,4,76.5,0,0
GARCIA RODRIGUEZ,Robel Estiwal,MAC,1,3,2,1,0,1.000,0,0,0,,0,0
GARCIA,SEBASTIAN ALEJANDRO,MAC,32,49,42,4,3,0.939,1,0,0,,0,0
GARRA,Michele,TOR,17,46,36,8,2,0.957,9,0,0,,0,0
GASTALDI,Marco,POV,17,146,139,6,1,0.993,0,30,2,93.8,4,0
GEMINIANI,Raffaele,GOD,18,30,11,14,5,0.833,2,0,0,,0,0
GENTILI,Riccardo,PAU,20,68,17,42,9,0.868,2,0,0,,0,0
GERALI,Guido,CRO,17,59,57,1,1,0.983,3,0,0,,0,0
GERALI,Matteo,CRO,24,84,41,39,4,0.952,6,0,0,,0,0
GERGOLET,Diego,RON,8,5,1,2,2,0.600,0,0,0,,0,0
GHENO,Pietro,RON,4,12,12,0,0,1.000,0,0,0,,0,0
GHIDONI,Michele,OLT,9,9,4,2,3,0.667,0,0,0,,0,0
GHIDONI,Tommaso,OLT,10,21,19,1,1,0.952,0,0,0,,0,0
GIACOMINI,Tommaso,BOL,12,30,12,15,3,0.900,7,3,0,100.0,0,0
GIARDINI,Mattia,RIM,4,6,5,1,0,1.000,0,0,0,,1,0
GINTILI TALON,Luigi,CAN,22,249,213,32,4,0.984,2,39,16,70.9,7,1
GIORDANI,Federico,GRO,29,41,36,4,1,0.976,1,0,0,,0,0
GIORGI,Francesco,ATL,12,5,1,3,1,0.800,0,0,1,0.0,0,0
GIOVANARDI,Alex,POV,17,27,23,2,2,0.926,1,0,0,,0,0
GISMONDI,Ludovico,TOR,8,4,1,3,0,1.000,0,0,0,,0,0
