Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
LAMBERT,Joey,DEU,69,10,15,5,0,0,17,20,0.217,0.290,0.313,0.603,6,5,19,1,3,2,2,1
LAMOTTE,Adrien,NAM,5,1,1,0,0,0,1,1,0.200,0.200,0.333,0.533,0,1,0,0,0,0,0,0
LAMOTTE,Yanni,NAM,8,5,2,0,0,0,2,2,0.250,0.250,0.455,0.705,2,1,2,1,0,0,4,0
LANGEZAAL,Harold,BOR,54,9,8,2,0,0,1,10,0.148,0.185,0.292,0.477,6,5,14,0,0,1,1,2
LARRINAGA OCAMPO,Jose Luis,DEU,13,3,3,0,0,0,3,3,0.231,0.231,0.286,0.517,0,1,1,1,0,0,0,0
LEKEU,Florian,MSG,58,12,19,3,2,0,15,26,0.328,0.448,0.437,0.885,11,1,8,1,1,0,3,1
LEWIS,Rob,HOB,79,14,24,3,0,0,19,27,0.304,0.342,0.385,0.727,9,2,8,0,1,4,1,0
LOCQUET,Loris,NAM,81,10,18,5,0,0,7,23,0.222,0.284,0.370,0.654,11,8,23,0,0,0,2,0
LONGHOFER,Jackson,BRA,15,2,5,0,0,0,3,5,0.333,0.333,0.375,0.708,1,0,4,0,0,0,1,1
LORRENTOP,Lucas,HOB,4,0,1,0,0,0,0,1,0.250,0.250,0.250,0.500,0,0,3,0,0,0,0,0
LUCAS,Wols,BOR,5,1,0,0,0,0,0,0,0.000,0.000,0.286,0.286,2,0,0,1,0,0,0,0
MARQUEZ,Alexis,DEU,123,32,49,12,0,1,25,64,0.398,0.520,0.479,0.999,19,0,12,0,0,0,13,1
MARTINEZ MIRANDA,Raxon,BRA,103,41,36,4,2,0,14,44,0.350,0.427,0.469,0.896,24,1,6,1,2,1,16,2
MATHOT,Alexandre,NAM,68,22,23,3,0,0,10,26,0.338,0.382,0.434,0.816,7,6,11,2,2,0,10,1
MAUËN,Olivier,MSG,32,2,3,1,0,0,3,4,0.094,0.125,0.302,0.427,8,2,8,0,1,0,0,1
MEERT,Aaron,MER,63,9,20,1,0,1,9,24,0.317,0.381,0.368,0.749,3,2,10,1,0,0,1,0
MESKENS,Cas,MER,10,0,2,0,0,0,0,2,0.200,0.200,0.200,0.400,0,0,7,1,0,0,0,0
MORGAN,John Paul,BOR,3,1,1,0,0,0,0,1,0.333,0.333,0.333,0.666,0,0,1,0,0,0,0,0
MOSTAERT,Nando,DEU,103,25,41,10,0,3,20,60,0.398,0.583,0.471,1.054,11,4,9,1,1,0,6,1
MULDERS,Matthias,BRA,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
MUYLDERMANS,Julien,MSG,62,10,17,3,0,0,2,20,0.274,0.323,0.416,0.739,12,3,20,0,0,1,7,1
NAMMOKU,Yoshitaka,BOR,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
NICOLAY,Martin,NAM,30,5,7,2,0,0,4,9,0.233,0.300,0.281,0.581,1,1,6,0,0,0,3,0
NIETO CASTILLO,Edgardo Jose,DEU,42,12,11,1,2,0,7,16,0.262,0.381,0.340,0.721,4,1,8,0,0,1,2,0
NOBLET,Clément,MSG,34,4,7,2,0,0,5,9,0.206,0.265,0.263,0.528,2,1,4,2,1,0,0,0
NUNEZ ALONZO,David Amador,MSG,52,5,13,1,0,0,6,14,0.250,0.269,0.391,0.660,8,4,6,2,0,1,0,0
