Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
MONTERO BONILLA,Okaury,TOR,21,39,36,1,2,0.949,1,0,0,,0,0
MONTIEL,Richard,MAR,25,91,83,7,1,0.989,11,0,0,,0,0
MONTILLA,Jose,MAR,5,3,1,2,0,1.000,0,0,0,,0,0
MONZÓN,Javier,INA,30,100,23,70,7,0.930,3,0,0,,0,0
MORENO,Jordi,BCN,4,4,1,2,1,0.750,0,0,0,,0,0
MORUA,Martin,MAR,5,4,4,0,0,1.000,0,0,0,,0,0
MOTA,Leonardo,TOR,16,2,0,2,0,1.000,0,0,0,,0,0
MOYA,Aleix,VIL,22,61,57,1,3,0.951,1,0,0,,0,0
MUJICA,Ronaldo,INA,14,39,21,17,1,0.974,6,0,0,,0,0
MURGA,Santiago,AST,3,1,0,1,0,1.000,0,0,0,,0,0
MUÑOZ,Ibai,NAV,3,10,5,5,0,1.000,3,0,0,,0,0
NAZAR,Ricardo,NAV,10,12,12,0,0,1.000,0,0,0,,0,0
NIÑO,Denny,SBO,28,188,180,5,3,0.984,8,8,1,88.9,2,0
NÁCAR,Gregorio,ANT,3,2,1,1,0,1.000,0,0,0,,0,0
NÚÑEZ,Cristopher,BCN,25,44,44,0,0,1.000,0,0,0,,0,0
OCHOA,Blake,AST,28,115,107,8,0,1.000,0,5,4,55.6,1,0
OCHOA,Iker,IRA,7,23,19,3,1,0.957,0,9,1,90.0,1,0
ONIEVA,Iker,IRA,19,38,36,1,1,0.974,0,0,0,,0,0
OTAL,Alexander,MIR,12,1,0,0,1,0.000,0,0,0,,0,0
OTAZU,Erik,NAV,19,35,29,1,5,0.857,0,0,0,,2,0
PALMA,Sergi,SBO,11,6,1,5,0,1.000,0,1,1,50.0,0,0
PERALES,Christian,MIR,8,33,30,1,2,0.939,0,17,0,100.0,2,0
PERES,Ian,MAR,26,130,120,8,2,0.985,0,4,1,80.0,1,0
PEÑA,Andrés,ANT,4,3,3,0,0,1.000,0,0,0,,0,0
PEÑA,Luis,MIR,26,142,125,15,2,0.986,5,31,6,83.8,3,0
PEÑA,Víctor,ANT,15,17,14,2,1,0.941,1,0,1,0.0,0,0
PEÑA,Ángel,NAV,16,33,16,14,3,0.909,3,0,0,,0,0
PINILLA,Pablo,MIR,24,113,70,35,8,0.929,13,0,0,,0,0
PUEYO,Pablo,MIR,26,72,22,40,10,0.861,3,0,0,,0,0
PÁEZ,Eric,SBO,9,18,4,13,1,0.944,1,0,2,0.0,0,0
PÉREZ,Adrián,VIL,28,121,55,56,10,0.917,17,0,0,,0,0
PÉREZ,Diego,TOR,13,29,15,10,4,0.862,2,0,0,,0,0
PÉREZ,Hachel,TOR,15,61,55,2,4,0.934,0,6,1,85.7,4,0
PÉREZ,Maddiel,VIL,24,95,22,65,8,0.916,9,0,0,,0,0
QUINTANA,Leirán,MIR,26,71,67,2,2,0.972,0,0,0,,0,0
QUINTANA,Samuel,AST,2,3,3,0,0,1.000,0,0,0,,0,0
RAMOS,Luís,ANT,4,4,3,1,0,1.000,0,0,0,,0,0
RAMÍREZ,Giovanni,INA,15,8,4,3,1,0.875,0,0,0,,0,0
REDÍN,Iñaki,TOR,25,43,11,27,5,0.884,3,0,0,,0,0
REYES CORREA,Víctor Enmanuel,NAV,6,11,10,1,0,1.000,0,0,0,,0,0
RIVERO,Tommy,ANT,22,76,39,30,7,0.908,5,0,0,,0,0
RODRIGUEZ REYES,Leomartires,MAR,24,65,7,55,3,0.954,6,0,0,,0,0
RODRIGUEZ,Maickell,ANT,26,121,84,33,4,0.967,4,17,4,81.0,0,0
RODRÍGUEZ,Edgar,AST,24,68,16,45,7,0.897,5,0,0,,0,0
RODRÍGUEZ,Iverson,TOR,12,12,11,0,1,0.917,0,0,0,,0,0
RODRÍGUEZ,Kevin,MAR,1,1,0,1,0,1.000,0,0,0,,0,0
RODRÍGUEZ,Luís,MAR,26,44,44,0,0,1.000,0,0,0,,0,0
RODRÍGUEZ,Manuel,MIR,4,1,0,1,0,1.000,0,1,0,100.0,0,0
RODRÍGUEZ,Michel,AST,28,184,138,44,2,0.989,6,0,0,,0,0
RODRÍGUEZ,Reinaldo,NAV,8,6,0,6,0,1.000,0,1,0,100.0,0,0
RONDÓN,Edgar,AST,22,87,30,55,2,0.977,3,0,0,,0,0
ROS,Roberto,ANT,15,10,2,6,2,0.800,0,1,0,100.0,0,0
ROSARIO,Randul,NAV,16,53,14,32,7,0.868,2,0,0,,0,0
RUIZ,Raudis,TOR,10,31,4,26,1,0.968,1,0,0,,0,0
RUÍZ,Michael,TOR,14,17,8,6,3,0.824,1,0,0,,0,0
SAARVO,Juho,BCN,9,2,1,0,1,0.500,0,1,0,100.0,0,0
SALAS,Eusebio,SBO,28,123,39,73,11,0.911,9,0,0,,0,0
SAN MARTÍN,Jon,NAV,24,157,136,15,6,0.962,16,0,0,,0,0
SAN MIGUEL,Diego,IRA,13,60,55,3,2,0.967,9,0,0,,0,0
SANDRONE,Nicoló,AST,12,105,94,9,2,0.981,0,14,4,77.8,1,0
SANTESTEBAN,Mikel,IRA,20,92,45,42,5,0.946,13,0,0,,0,0
SANZ,Jesús,IRA,17,61,21,32,8,0.869,4,0,0,,0,0
SECO,David,IRA,6,12,11,1,0,1.000,1,0,0,,0,0
SIERRA,Flavio,BCN,4,21,18,2,1,0.952,0,1,0,100.0,0,0
SILVA,Elio,MAR,12,11,1,10,0,1.000,0,0,2,0.0,0,0
SISNEROS,Yeison,SBO,15,21,6,13,2,0.905,1,0,0,,0,0
SÁENZ,Alejandro,VIL,8,14,14,0,0,1.000,0,0,0,,0,0
SÁNCHEZ,Francisco,VIL,16,17,5,11,1,0.941,0,0,0,,0,0
SÁNCHEZ,Izan,IRA,24,52,23,21,8,0.846,3,0,1,0.0,0,0
SÁNCHEZ,Javier,ANT,4,6,4,2,0,1.000,2,0,0,,0,0
SÁNCHEZ,Josías,TOR,16,2,2,0,0,1.000,0,0,0,,0,0
TOMINAGA,Kai,BCN,6,2,0,1,1,0.500,0,0,0,,0,0
TORREALBA,José,BCN,24,74,37,33,4,0.946,9,0,0,,0,0
TORREALBA,Julio,MAR,12,7,2,5,0,1.000,0,0,0,,0,0
TORRES,Daniel,ANT,25,201,152,42,7,0.965,4,18,11,62.1,1,0
TORRES,Fidel,INA,18,10,10,0,0,1.000,2,0,0,,0,0
TORRES,Reiner,BCN,23,189,172,13,4,0.979,25,0,0,,0,0
TORRES,Yosbany,AST,14,28,8,16,4,0.857,1,0,0,,0,0
TOVAR,Orlando,TOR,2,2,1,1,0,1.000,0,0,0,,0,0
USTARIZ,Jesus,MAR,16,114,104,9,1,0.991,11,0,0,,0,0
VALDIVIA,Roldán,MIR,1,1,1,0,0,1.000,0,0,0,,0,0
VALENTÍN,Roberto,VIL,27,153,43,96,14,0.908,17,0,0,,0,0
VALERIO,Edison,MAR,24,87,33,51,3,0.966,10,0,0,,0,0
VANDERVELDEN,Viktor,BCN,6,2,1,1,0,1.000,0,1,0,100.0,0,0
VARELA,Adrián,NAV,8,5,5,0,0,1.000,0,0,0,,0,0
VARGAS,Isaac,TOR,14,14,2,10,2,0.857,0,0,1,0.0,0,0
VARGAS,Miguel,VIL,3,5,1,4,0,1.000,0,0,0,,0,0
VARGAS,Miguel,ANT,37,104,51,45,8,0.923,14,1,0,100.0,0,0
VARGAS,Rominyer,MIR,3,2,2,0,0,1.000,0,0,0,,0,0
VELASQUEZ,Wilbert,INA,26,35,32,3,0,1.000,0,0,0,,0,0
VERNAL TORRES,Rubén Gregorio,MIR,4,3,2,1,0,1.000,0,0,0,,0,0
VILARO,Josep,BCN,13,12,0,11,1,0.917,1,0,2,0.0,0,0
VILLAMAYOR,Nicolas,IRA,3,9,3,5,1,0.889,1,0,0,,0,0
VILLAMAYOR,Pablo,IRA,3,4,2,2,0,1.000,1,0,0,,0,0
VÁSQUEZ,Carlos,IRA,6,1,0,1,0,1.000,0,0,0,,0,0
VÁSQUEZ,Larry,MIR,24,32,22,8,2,0.938,5,0,0,,0,0
VÁZQUEZ,Roberto,MIR,9,19,13,4,2,0.895,2,0,0,,0,0
ZAMBRANO,Jonathan,NAV,10,10,1,9,0,1.000,1,1,2,33.3,0,0
ZARATE,Miguel,INA,25,83,70,12,1,0.988,1,4,1,80.0,0,0
