Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
VAN AUTREVE,Sam,GEN,1,0,5.07,5,1,0,0,0,9.2,1,7,7,16,28,0,0,1,29,0.034,7,2,1,0,0,0,0
VAN DAMME,Niels,ZOT,0,0,56.00,1,0,0,0,0,1.0,4,8,8,3,0,0,0,0,7,0.571,3,2,0,0,0,1,2
VAN DE POPULIERE,Wout,OUD,0,1,25.20,3,1,0,0,0,1.2,3,7,6,9,4,2,0,0,8,0.375,2,0,0,0,0,1,0
VAN DE VOORDE,Siebe,OUD,0,0,30.19,6,0,0,0,0,5.1,13,34,23,20,11,5,0,0,29,0.448,4,5,0,0,0,2,2
VAN DELSEN,Xander,ZOT,0,0,42.00,2,0,0,0,0,0.1,2,2,2,2,0,0,1,0,2,1.000,0,0,0,0,0,0,0
VAN DEN BRANDEN,Yaro,HOB,0,0,7.88,2,0,0,0,0,5.1,6,8,6,7,7,3,0,1,22,0.273,2,2,0,0,0,4,3
VAN DEN EYNDE,Lars,BRA,0,0,8.17,3,0,0,0,0,6.0,12,9,7,2,4,4,0,0,27,0.444,0,1,0,0,0,7,3
VAN DER WEERDEN,Alexander,MER,0,1,36.75,2,1,0,0,0,1.1,0,12,7,13,3,0,0,0,4,0.000,7,2,0,0,0,0,0
VAN DER WEERDEN,Alexander,MER,0,0,7.00,1,0,0,0,0,1.0,0,1,1,3,0,0,0,0,1,0.000,3,0,0,0,0,1,0
VAN DONICK,Leno,CAN,0,0,0.00,1,0,0,0,0,0.2,0,0,0,1,1,0,0,0,1,0.000,0,1,0,0,0,0,0
VAN GYSEGHEM,Grimm,GEN,0,0,0.00,1,0,0,0,0,0.2,1,0,0,0,0,1,0,0,2,0.500,0,0,0,0,0,0,1
VAN KEER,Arjen,GRE,0,2,9.05,10,2,0,2,0,21.2,27,37,28,36,41,3,2,1,83,0.325,7,4,0,0,0,8,4
VAN LANGENHOVE,Sander,GEN,1,0,8.75,2,1,0,0,0,4.0,3,5,5,5,6,0,0,0,13,0.231,0,0,0,0,1,3,2
VAN MOLLE,Lowie,MER,0,2,25.20,6,2,0,1,0,8.1,28,37,30,25,10,7,2,0,48,0.583,1,1,0,1,0,5,4
VAN MOLLE,Ward,MER,0,0,10.50,1,0,0,0,0,0.2,1,3,1,3,0,0,0,0,2,0.500,0,0,0,0,0,1,0
VAN MOLLE,Ward,MER,0,0,28.00,1,0,0,0,0,1.0,2,4,4,1,1,0,0,1,5,0.400,0,1,0,0,0,1,1
VAN SANT,Wout,HOB,0,0,13.00,7,0,0,0,0,7.0,12,25,13,23,12,0,1,1,36,0.333,6,3,0,0,0,7,1
VAN TENDELOO,Luka,HEI,0,0,42.00,4,0,0,0,0,2.1,8,21,14,21,4,3,0,0,12,0.667,6,0,0,0,1,1,0
VAN TIEGHEM,Emmanuel,OOS,1,0,27.00,2,1,0,0,0,2.1,7,10,9,6,5,2,1,1,12,0.583,0,0,0,0,0,0,0
VAN WOENSEL,Rist,HEI,1,4,25.11,9,5,0,1,0,15.1,39,69,55,42,32,10,2,2,82,0.476,12,5,0,0,0,9,2
VANALDERWIERELT,Tibe,OUD,0,1,52.50,1,1,0,0,0,0.2,5,5,5,1,0,4,0,0,7,0.714,0,0,0,0,0,2,0
VANDECATSEYE,Gilles,ZOT,1,0,7.30,4,1,0,0,0,7.2,9,13,8,9,6,0,0,1,28,0.321,0,3,0,0,0,6,7
VANDEPUTTE,Robbe,POP,0,2,39.10,10,2,0,0,0,9.2,18,72,54,70,16,3,0,0,44,0.409,5,2,0,0,0,5,4
VANMARSENILLE,Ruben,BOR,1,0,1.00,5,1,0,0,0,7.0,1,4,1,9,15,0,1,0,21,0.048,1,2,0,1,0,4,2
VANMASSENHOVE,Stian,MER,0,0,0.00,2,0,0,0,0,0.1,0,0,0,5,0,0,0,0,1,0.000,2,0,0,0,0,1,0
VANSTEENKISTE,Ernest,MSG,0,1,42.00,4,1,0,0,0,3.0,12,19,18,9,1,2,2,4,21,0.571,2,1,0,0,0,4,4
VANSTEENKISTE,Théo,OUD,0,1,24.00,2,1,0,0,0,2.1,5,9,8,7,0,2,1,0,10,0.500,0,0,0,0,0,3,2
VERBEKEN,Lars,MER,3,0,4.20,9,3,0,1,1,21.2,14,16,13,17,40,3,1,2,76,0.184,0,1,0,0,0,16,4
VERKEMPINCK,Tim Mahé,NAM,6,1,8.56,9,7,0,1,1,18.0,16,34,22,32,37,3,1,0,62,0.258,5,3,0,0,0,6,3
VERMEIREN,Illiam,GRE,2,3,18.75,9,5,0,0,0,9.1,12,48,25,48,18,3,0,0,35,0.343,4,5,0,0,0,3,2
VERMUYTEN,Dean,BOR,0,0,7.50,4,0,0,0,0,4.2,5,7,5,14,8,0,0,0,16,0.313,5,0,0,0,0,3,0
VICTOR,DIEU,BRI,1,4,60.38,11,6,0,1,0,8.0,39,89,69,49,12,6,1,7,64,0.609,9,3,0,0,0,5,6
VOSSELMAN,Qju,OOS,0,1,20.00,7,1,0,0,0,7.0,7,27,20,27,14,1,1,0,25,0.280,6,2,0,0,0,2,2
VRIJDERS,Boaz,MER,0,0,24.00,2,0,0,0,0,2.1,7,11,8,5,5,2,1,0,16,0.438,4,0,1,0,0,3,1
WAEYENBERGHE,Mathis,BRA,0,0,10.50,1,0,0,0,0,0.2,2,1,1,1,2,1,0,0,4,0.500,1,0,0,0,0,0,0
WENSELEERS,Rune,GEN,1,0,9.33,3,1,0,0,0,3.0,2,6,4,8,5,0,0,0,9,0.222,0,1,0,0,0,2,0
WILLEM,Ethan,AND,1,3,10.50,4,4,0,0,0,6.2,9,12,10,14,12,2,1,0,25,0.360,0,0,0,0,0,2,2
YERNA,Ilan,MSG,0,0,28.00,1,0,0,0,0,1.0,5,6,4,1,0,0,1,0,7,0.714,1,0,0,0,0,1,1
ZIDOUNE,Ewen,BRI,1,4,7.14,6,6,0,0,0,16.2,14,21,17,15,40,2,1,0,67,0.209,3,4,0,0,0,8,0
