Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
DECOURTY,Aurélie,MON,25,13,9,1,0,1,6,13,0.360,0.520,0.500,1.020,6,1,8,0,0,0,9,0
DEKEERSMAEKER,Sophie,GEN,18,8,9,1,0,0,6,10,0.500,0.556,0.591,1.147,3,1,5,0,0,0,12,0
DENOEL,Alex,SER,70,25,34,4,4,1,19,49,0.486,0.700,0.543,1.243,9,1,14,0,1,0,16,0
DEWALQUE,Muriel,SER,5,3,3,0,1,0,2,5,0.600,1.000,0.714,1.714,2,0,0,0,0,0,1,0
DHOOGE,Clémentine,BRU,12,2,1,0,0,1,2,4,0.083,0.333,0.214,0.547,2,0,0,0,0,0,1,0
DIVE,Camille,BRI,49,21,21,2,2,0,11,27,0.429,0.551,0.491,1.042,5,1,5,0,0,0,9,2
DUCHENE,Marie,SER,26,8,12,1,0,0,11,13,0.462,0.500,0.548,1.048,4,1,5,0,0,0,1,0
DUPLOUY,Gwenaëlle,MON,52,31,30,2,2,1,19,39,0.577,0.750,0.656,1.406,10,2,4,0,0,0,28,0
ELOY,Epiphanie,MON,44,9,15,1,0,0,8,16,0.341,0.364,0.383,0.747,3,0,5,0,0,0,0,0
FAUCON,Marilou,MON,48,27,20,3,2,1,19,30,0.417,0.625,0.582,1.207,17,2,3,0,0,0,15,1
FAUVILLE,Christelle,BRU,4,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,0,0,0
FEYS,Jena,GEN,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
FUKS,Jennifer,BRI,32,13,11,3,1,0,4,16,0.344,0.500,0.500,1.000,3,7,6,0,0,0,11,2
GATTO,Camille,BRI,13,6,3,0,0,0,3,3,0.231,0.231,0.565,0.796,6,4,5,0,0,1,5,0
GAUQUIER,Fleur,MON,42,12,16,0,1,0,9,18,0.381,0.429,0.471,0.900,5,3,7,0,1,0,3,2
GEEERAERTS,Yanaika,HEI,23,4,1,0,0,0,1,1,0.043,0.043,0.313,0.356,9,0,19,0,0,0,2,0
GHELEYNS,Marie,BRI,40,14,16,2,0,0,14,18,0.400,0.450,0.510,0.960,8,1,4,0,0,0,3,2
GORIS,Jessy,HEI,30,3,5,0,0,0,2,5,0.167,0.167,0.242,0.409,3,0,7,0,0,0,1,0
