Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
SCHEPENS,Jason,OOS,4,3,3,0,0,1.000,0,0,0,,0,0
SCHOENAERS,Brieuc,MSG,4,12,3,5,4,0.667,1,0,0,,0,0
SCHULTHESS,Dorian,BRU,2,15,10,3,2,0.867,0,34,2,94.4,9,0
SECEMBER,Tom,WIE,1,2,2,0,0,1.000,0,1,0,100.0,0,0
SEMENAS,Valdas,BRU,3,6,6,0,0,1.000,0,0,0,,0,0
SENTEN,Maximilian,ANT,7,10,3,2,5,0.500,1,0,0,,0,0
SINNAEVE,Olivier,BRU,7,11,8,0,3,0.727,0,0,0,,0,0
SLEVEN,Geoffrey,LEU,2,11,8,1,2,0.818,0,24,0,100.0,1,0
SLOWIK,Cloé,SER,5,5,2,2,1,0.800,1,0,0,,0,0
SLUYTER,Kevin,BRA,2,5,3,1,1,0.800,0,0,0,,0,0
SMITS,Caroline,ANT,4,12,11,1,0,1.000,1,0,0,,0,0
SMITS,Cédric,ANT,8,14,4,8,2,0.857,1,0,0,,0,0
SOLOGNIER,Reyginald,BRA,2,6,6,0,0,1.000,1,0,0,,0,0
SPINNOY,Kevin,CAN,2,9,9,0,0,1.000,0,31,0,100.0,4,0
STAES,Jeroen,BRA,1,3,2,0,1,0.667,0,0,0,,0,0
STREUX,Maya,CAN,5,16,10,5,1,0.938,2,0,0,,0,0
SZOKE,Raphaël,NAM,3,14,8,4,2,0.857,0,19,4,82.6,7,0
TAELMAN,Timothé,BRI,7,30,24,2,4,0.867,1,32,2,94.1,10,0
THOMPSON GODA,Omar,LEU,3,4,1,2,1,0.750,0,0,0,,0,0
THORON,Clément,SER,3,5,4,1,0,1.000,0,0,0,,0,0
TOPALKA,Emre,SER,15,9,6,2,1,0.889,0,12,0,100.0,0,0
TRAN,David,BRI,6,13,8,4,1,0.923,0,7,0,100.0,0,0
TRIBOLET,Bruno,NAM,2,2,1,1,0,1.000,0,7,0,100.0,0,0
TROUBLEYN,Daan,LEU,5,9,5,3,1,0.889,0,0,0,,0,0
VALENTIN,Rémi,MSG,3,3,3,0,0,1.000,0,0,0,,0,0
VAN ACKEREN,Jeroen,ANT,12,7,1,6,0,1.000,0,2,0,100.0,0,0
VAN BOUWEL,Robin,OOS,7,15,10,2,3,0.800,0,2,0,100.0,0,0
VAN DE MERLEN,Mateo,BRA,1,2,2,0,0,1.000,0,0,0,,0,0
VAN DE VYVER,Lorenzo,BRA,1,8,7,0,1,0.875,0,11,0,100.0,0,0
VAN DEN BOSCH,Nick,ANT,8,4,0,3,1,0.750,0,0,0,,0,0
VAN DEN NEUCKER,Seth,CAN,5,1,1,0,0,1.000,0,0,0,,0,0
VAN DEN WYNGAERT,Arn,BRA,2,1,0,0,1,0.000,0,0,0,,0,0
VAN DER LINDEN,Simon,MSG,3,5,4,1,0,1.000,1,0,0,,0,0
VAN DONICK,Glenn,CAN,4,19,15,1,3,0.842,1,0,0,,0,0
VAN HEIRBEECK,Nathan,HEI,13,10,4,4,2,0.800,1,9,0,100.0,0,0
VAN HOOVELS,Jordy,CAN,2,10,7,1,2,0.800,0,5,0,100.0,1,0
VAN HOVE,Eléonore,BRU,4,1,1,0,0,1.000,0,0,0,,0,0
VAN HOVE,Niels,ANT,2,7,7,0,0,1.000,1,0,0,,0,0
VAN HOVE,Niels,ANT,4,4,4,0,0,1.000,0,0,0,,0,0
VAN IMPE,Julien,BRI,5,3,3,0,0,1.000,0,0,0,,0,0
VAN LINDEN,Jhano,BRA,3,6,3,3,0,1.000,0,1,0,100.0,0,0
VAN MAELE,Jasper,WIE,3,6,4,0,2,0.667,0,0,0,,0,0
VAN RYMENANT,Björn,ANT,6,24,18,6,0,1.000,0,6,0,100.0,1,0
VAN RYMENANT,Björn,ANT,3,27,22,5,0,1.000,1,15,1,93.8,1,0
VAN TIEGHEM,Henri,OOS,4,11,10,0,1,0.909,0,0,0,,0,0
VAN WALLENDAEL,Martin,ANT,3,5,4,1,0,1.000,1,0,0,,0,0
VAN WALLENDAEL,Martin,ANT,1,2,2,0,0,1.000,0,0,0,,0,0
VAN WOENSEL,Bram,HEI,19,19,13,5,1,0.947,0,9,0,100.0,0,0
VAN WOENSEL,Stijn,HEI,1,4,2,0,2,0.500,0,0,0,,0,0
VANDEN HOUTE,Joris,MER,2,4,3,1,0,1.000,0,0,0,,0,0
VANDENDRIESSCHE,Nicolas,BRI,14,15,5,9,1,0.933,1,29,0,100.0,0,0
VANDENPUTTE,Kwinten,MER,3,3,3,0,0,1.000,0,0,0,,0,0
VANDERLINDEN,Eddy,MSG,2,3,2,0,1,0.667,0,0,0,,0,0
VANDERSTAPPEN,Bertus,MER,5,14,10,2,2,0.857,0,10,1,90.9,8,0
VANDEUREN,Arthus,MSG,5,20,15,3,2,0.900,0,56,2,96.6,8,1
VANHAECKE,Edouard,WIE,3,1,1,0,0,1.000,0,0,0,,0,0
VANHOUTTE,Christof,WIE,3,3,2,0,1,0.667,0,0,0,,0,0
VANHULLE,Matisse,WIE,2,1,1,0,0,1.000,0,0,0,,0,0
VANLERBERGHE,Jan,WIE,1,1,1,0,0,1.000,0,0,0,,0,0
VANMASSENHOVE,Björn,MER,5,6,3,3,0,1.000,0,0,0,,0,0
VEERMEER,Sven,BRA,2,3,2,1,0,1.000,0,7,0,100.0,5,0
VERBEKEN,Lars,MER,1,1,0,1,0,1.000,0,0,0,,0,0
VERBEKEN,Nils,MER,6,9,4,4,1,0.889,0,0,2,0.0,0,0
VERHAERT,Josse,BRA,1,4,2,1,1,0.750,1,0,0,,0,0
VERHEYDEN,Djamy,DEU,7,7,3,4,0,1.000,2,0,0,,0,0
VERLINDEN,Philippe,MER,3,8,7,0,1,0.875,0,0,0,,0,0
VINKEN,Wannes,ANT,8,9,5,3,1,0.889,0,0,0,,0,0
VOORHELST,Benjamin,ANT,3,5,2,2,1,0.800,0,0,0,,0,0
VOSSELMAN,Blue,OOS,10,14,9,5,0,1.000,0,3,0,100.0,0,0
VREUGD,Guy-Robert,WIE,2,2,0,0,2,0.000,0,0,0,,0,0
VYLDERS,Kehssy,MER,3,2,1,1,0,1.000,0,0,0,,0,0
VYLS,Jeremy,BRU,2,3,2,0,1,0.667,1,0,0,,0,0
WAEYE,Mathias,WIE,2,1,0,1,0,1.000,0,0,0,,0,0
WANTEN,Joppe,HEI,6,4,3,1,0,1.000,0,0,0,,0,0
WARNY,Valentin,BRI,3,7,6,1,0,1.000,0,0,0,,3,0
WAROUX,Xavier,MSG,1,1,0,0,1,0.000,0,0,0,,0,0
WEYN,Axl,BRA,2,2,1,0,1,0.500,0,3,0,100.0,1,0
WEYN,Yorrid,CAN,8,28,6,15,7,0.750,1,0,0,,0,0
WILSSENS,Ruben,OOS,6,22,18,3,1,0.955,0,0,0,,0,0
WOLLENDORF,Tarim,HEI,18,45,26,5,14,0.689,1,22,0,100.0,2,0
WOUTERS,David,LEU,1,7,6,1,0,1.000,0,0,0,,0,0
WUYTS,Jolan,ANT,4,3,2,0,1,0.667,0,0,0,,0,0
